BASE_YEAR,PLAYER_NO,PLAYER_NM,PLAYER_GRAD_NM,PRACE_TME_CO,PRACE_DE_CO,N1R_NCNT,N1R_VICTRY_RT,N2R_NCNT,YUNDAE_RT,N3R_NCNT,THREE_YUNDAE_RT,N4R_NCNT,N5R_NCNT,N6R_NCNT,N7R_NCNT,N8R_NCNT,N9R_NCNT,DSQLFC_CO,FELOFF_ABANDN_VALUE,DEFECT_ABANDN_VALUE,PN_AFLTION_NM,PRECDNG_N1CK_NCNT,OVRTK_N1CK_NCNT,EXCD_N1CK_NCNT,DEFNS_N1CK_NCNT,WARN_NCNT,ATENT_NCNT,EVL_SCORE,GEAR_MULTIP_VALUE,TOT_RANK_CO
"1999","19990006","지성환",,"3","9","7","78","1","89","0","0","0","0","1","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19960041","임병창","A1","16","48","9","19","5","29","12","0","5","4","8","5","0","0","0","0","0","3/1",,,,,,,,,
"1999","19950069","최항진","B2","14","43","4","9","2","14","5","0","4","14","8","6","0","0","0","0","0","2/1",,,,,,,,,
"1999","19970006","윤진철","S1","15","45","8","18","13","47","7","0","4","5","2","6","0","0","0","0","0","4/1",,,,,,,,,
"1999","19950015","김창규","A2","16","48","5","10","11","33","6","0","7","7","5","7","0","0","0","0","0","2/1",,,,,,,,,
"1999","19970046","박동수","A2","14","47","1","2","6","15","14","0","9","5","7","5","0","0","0","0","0","4/1",,,,,,,,,
"1999","19970020","배학성","A1","6","18","1","6","3","22","1","0","3","7","2","1","0","0","0","0","0","4/1",,,,,,,,,
"1999","19970016","홍미웅","S2","14","44","2","5","6","18","9","0","9","7","3","8","0","0","0","1","0","4/1",,,,,,,,,
"1999","19960002","김우병","B1","14","40","8","20","6","35","5","0","3","5","5","8","0","0","1","1","0","3/1",,,,,,,,,
"1999","19950030","이경태","A1","16","44","14","32","3","39","3","0","9","7","6","2","0","0","1","0","0","2/1",,,,,,,,,
"1999","19980001","서동방","B2","14","42","2","5","5","17","5","0","11","10","5","4","0","0","0","0","0","5/1",,,,,,,,,
"1999","19980013","박창순",,"14","40","3","8","4","18","4","0","6","8","4","11","0","0","1","1","0","5/1",,,,,,,,,
"1999","19980022","김경태","B1","14","42","5","12","9","33","7","0","7","7","4","3","0","0","0","0","0","5/1",,,,,,,,,
"1999","19980023","서인원","S2","13","44","15","34","4","43","7","0","3","6","7","2","0","0","0","1","0","5/1",,,,,,,,,
